Timestamp,Source plate,Source well,Destination plate,Destination well,Status
2025-05-11 02:53:56.524,p1,A2,dest-plate-001,A1,completed
2025-05-11 02:53:57.042,p1,B5,dest-plate-001,A2,completed
2025-05-11 02:53:57.770,p1,D10,dest-plate-001,A4,completed
2025-05-11 02:53:58.915,p1,E7,dest-plate-001,A6,completed
2025-05-11 02:54:03.608,p1,A6,dest-plate-001,D6,completed
,p2,A2,dest-plate-001,D4,started
,p2,A3,dest-plate-001,D7,uncompleted
,p2,A4,dest-plate-001,D8,uncompleted
,p2,A5,dest-plate-001,D9,uncompleted
,p3,B6,dest-plate-001,D10,uncompleted
,p3,B5,dest-plate-001,B3,uncompleted
,p3,H1,dest-plate-001,B12,uncompleted
,p3,H2,dest-plate-001,B10,uncompleted
,p3,H3,dest-plate-001,B9,uncompleted
