Timestamp,Source plate,Source well,Destination plate,Destination well,Status
2025-05-17 06:03:21.591,p1,A2,dest-plate-001,A1,completed
2025-05-17 06:05:12.350,p1,B5,dest-plate-001,A2,completed
,p1,C6,dest-plate-001,A3,started
,p1,D7,dest-plate-001,A4,uncompleted
,p2,A3,dest-plate-001,A5,uncompleted
,p3,H3,dest-plate-001,A6,uncompleted
