Timestamp,Source plate,Source well,Destination plate,Destination well,Status
2025-05-17 05:33:36.764,p1,A2,dest-plate-001,A1,skipped
2025-05-17 05:33:37.389,p1,B5,dest-plate-001,A2,skipped
2025-05-17 05:33:39.119,p1,D10,dest-plate-001,A4,skipped
2025-05-17 05:33:40.673,p1,E7,dest-plate-001,A6,skipped
2025-05-17 05:33:41.311,p1,A6,dest-plate-001,D6,skipped
2025-05-17 05:33:46.414,p2,A2,dest-plate-001,D4,skipped
2025-05-17 05:33:46.794,p2,A3,dest-plate-001,D7,skipped
2025-05-17 05:33:47.389,p2,A4,dest-plate-001,D8,skipped
2025-05-17 05:33:48.427,p2,A5,dest-plate-001,D9,skipped
2025-05-17 05:33:53.459,p3,B6,dest-plate-001,D10,skipped
2025-05-17 05:33:53.847,p3,B5,dest-plate-001,B3,skipped
2025-05-17 05:33:54.454,p3,H1,dest-plate-001,B12,skipped
2025-05-17 05:33:54.861,p3,H2,dest-plate-001,B10,skipped
2025-05-17 05:33:55.480,p3,H3,dest-plate-001,B9,skipped
